source_row_id_or_node_id,original_name,normalized_name,current_bucket,recommended_bucket,status,why_current_is_wrong,why_fix_is_right,rationale,slide_basis,context_note,recommended_action
magical-listing,Magical Listing,magical listing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
certified-open-box,Certified Open Box,certified open box,not_trust_related,item_trust,incorrect,Classified as non_trust. Certified Open Box is a certification tier for brand-new items in opened packaging with full warranty  a listing-level promise about item condition and authenticity.,The parallel node ebay-certified-open-box is already correctly classified as item_trust Tier C. Certified Open Box certifies the condition and backing of specific open-box listings. Same logic as eBay Refurbished sub-tiers.,"Item-level condition certification with warranty. Slide 4, 13.","4, 13",Likely duplicate/variant of ebay-certified-open-box (which is item_trust). Both describe the same certified open-box concept under different parent nodes.,move
refurbished-open-box,Refurbished & Open Box,refurbished & open box,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
trade-in-uk,Trade-In UK,trade-in uk,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ask-seller-question,Ask Seller a Question,ask seller a question,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
contact-seller,Contact Seller,contact seller,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
user-agreement,User Agreement,user agreement,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
fee-illustrator,Fee Illustrator,fee illustrator,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
item-comparison,Item Comparison,item comparison,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
advanced-search,Advanced Search,advanced search,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
auto-pricing,Auto Pricing,auto pricing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
completed-listings,Completed Listings,completed listings,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
condition-description,Condition Description,condition description,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
condition-new-sort,Condition: New Sort,condition new sort,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
excellent-refurbished,Excellent - Refurbished,excellent refurbished,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
filter-by,Filter By,filter by,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
fitment-compatibility,Fitment Compatibility,fitment compatibility,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
good-refurbished,Good - Refurbished,good refurbished,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
item-condition,Item Condition,item condition,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
item-specifics-filter,Item Specifics Filter,item specifics filter,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
listing-upgrades,Listing Upgrades,listing upgrades,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
open-box,Open Box,open box,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
product-video,Product Video,product video,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
restocking-fee,Restocking Fee,restocking fee,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
search-filters,Search Filters,search filters,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
significantly-not-as-described,Significantly Not as Described,significantly not as described,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
sort-by,Sort By,sort by,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
stamps,Stamps,stamps,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
very-good-refurbished,Very Good - Refurbished,very good refurbished,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
vin-lookup,VIN Lookup,vin lookup,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-refurbished,eBay Refurbished,refurbished,not_trust_related,item_trust,incorrect,Classified as non_trust. eBay Refurbished is a four-tier certified refurbished program with professional inspections and warranties  it is a listing-level trust signal telling buyers the item has been vetted for condition and is backed by a guarantee.,"Slide 20 explicitly lists eBay Refurbished under Item Trust Tier C (Risk-Based Inventory Assessment). Slide 14 confirms Certified refurbished in Tier C. The program attaches to specific refurbished listings, making the promise item-level.","Item trust Tier C per slide 20. Listing-level condition vetting and warranty. Slide 4, 13, 14, 20.","4, 13, 14, 20","This is the umbrella program. Its sub-tiers (Certified Refurbished, Excellent Refurbished, etc.) should also be item_trust.",move
assured-fit,Assured Fit,assured fit,item_trust,platform_trust,incorrect,UK equivalent of eBay Guaranteed Fit. Classified as item_trust Tier C; same misclassification  no item-level inspection occurs.,Slide 20 shows Guaranteed Fit (and its equivalents) under Platform Trust. The UK variant follows the same platform-backed assurance model.,"UK market variant of a platform-level fitment assurance. Slide 4, 20.","4, 20",Market variant of Guaranteed Fit; classification logic identical.,move
ebay-assured-fit,eBay Assured Fit,assured fit,item_trust,platform_trust,incorrect,"UK fitment guarantee variant, branded as eBay Assured Fit. Classified as item_trust Tier C but no item inspection occurs  it is a platform refund/return promise.",Slide 20 places Guaranteed Fit under Platform Trust. UK branding does not change the classification logic.,"Platform assurance mechanism, not item authentication. Slide 4, 20.","4, 20",Duplicate entry alongside assured-fit. Both describe the UK fitment promise.,move
ebay-refurbished-warranty,eBay Refurbished Warranty,refurbished warranty,item_trust,platform_trust,incorrect,"Classified as item_trust Tier C. The 2-year Allstate warranty is a post-purchase assurance eBay provides across all eBay Refurbished listings  it is a platform-level buyer protection, not an item-level inspection or authentication signal.","Slide 20 lists Free Warranty under Platform Trust alongside eMBG. A warranty backed by eBay and Allstate is a marketplace-wide assurance mechanism, matching the platform trust definition on slide 4.","Buyer protection/assurance delivered by eBay at the platform level. Not item-specific authentication. Slide 4, 20.","4, 20",Distinct from the eBay Refurbished badge itself (item_trust Tier C). The warranty is the platform promise on top of the item signal.,move
refurbished,Refurbished,refurbished,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
condition-filter,Condition Filter,condition filter,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
parts-compatibility,Parts Compatibility,parts compatibility,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
seller-refurbished,Seller Refurbished,seller refurbished,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
supersize-pictures,Supersize Pictures,supersize pictures,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
traffic-report,Traffic Report,traffic report,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
traffic-report-multi-market,Traffic Report,traffic report,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
transaction-report,Transaction Report,transaction report,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
transaction-report-multi-market,Transaction Report,transaction report,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
brand-funded-promoted-stores,Brand-Funded Promoted Stores,brand-funded promoted stores,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
general-campaign,General Campaign,general campaign,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
priority-campaign,Priority Campaign,priority campaign,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
automated-promoted-listings-campaigns,Automated Promoted Listings Campaigns,automated promoted listings campaigns,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings-automated-campaigns,Promoted Listings Automated Campaigns,promoted listings automated campaigns,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings-priority-video-ads,Promoted Listings Priority Video Ads,promoted listings priority video ads,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
brand-funded-promoted-listings-priority,Brand-Funded Promoted Listings Priority,brand-funded promoted listings priority,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings-dashboard,Promoted Listings Dashboard,promoted listings dashboard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ad-attribution,Ad Attribution,ad attribution,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ad-fee,Ad Fee,ad fee,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
cost-per-sale,Cost Per Sale,cost per sale,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
featured-first,Featured First,featured first,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
gallery,Gallery,gallery,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
listing-enhancement,Listing Enhancement,listing enhancement,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
managed-display,Managed Display,managed display,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-brand,Promoted Brand,promoted brand,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-offsite,Promoted Offsite,promoted offsite,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-stores-custom,Promoted Stores Custom,promoted stores custom,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
spring-clearance,Spring Clearance,spring clearance,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
audience-targeting,Audience Targeting,audience targeting,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
campaign-bidding,Campaign Bidding,campaign bidding,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
cost-per-click,Cost Per Click,cost per click,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
keyword-targeting,Keyword Targeting,keyword targeting,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
offsite-ads,Offsite Ads,offsite ads,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
premium-placement,Premium Placement,premium placement,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-stores,Promoted Stores,promoted stores,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-stores-multi-market,Promoted Stores,promoted stores,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ad-rate-recommendation,Ad Rate Recommendation,ad rate recommendation,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promote-your-listing,Promote Your Listing,promote your listing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
offsite-ads-opt-out,Offsite Ads Opt Out,offsite ads opt out,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
mobile-analytics,Mobile Analytics,mobile analytics,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings,Promoted Listings,promoted listings,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings-advanced,Promoted Listings Advanced,promoted listings advanced,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings-priority,Promoted Listings Advanced,promoted listings advanced,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
seller-hub-multi-market,Seller Hub (Multi-Market),seller hub (multi-market),not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
advertising-dashboard,Advertising Dashboard,advertising dashboard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
bulk-campaign-management,Bulk Campaign Management,bulk campaign management,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-advertising,eBay Advertising,advertising,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
advertising,Advertising,advertising,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promoted-listings-express,Promoted Listings Express,promoted listings express,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
