registry_id,classification,evidence_quality,action_required,notes_summary,scan_date,review_complete
audience-targeting,existing_validated,B,,Active platform feature — Audience Targeting (parent: promoted-listings). Consistent with current eBay functionality.,2026-04-29,yes
augmented-reality-preview,existing_validated,B,,Active platform feature — Augmented Reality Preview (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
australia-post-express,existing_validated,B,,Active platform feature — Australia Post Express (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
authentication,existing_validated,A,,Structural hierarchy node — Authentication is valid taxonomy entry,2026-04-29,yes
authenticator-app,existing_validated,B,,Active platform feature — Authenticator App (parent: two-factor-authentication). Consistent with current eBay functional,2026-04-29,yes
authenticity-guarantee,existing_validated,A,,Core T1 brand — live across 6 authenticated categories,2026-04-29,yes
authenticity-guarantee-filter,existing_validated,B,,Active platform feature — Authenticity Guarantee Filter (parent: authenticity-guarantee). Consistent with current eBay f,2026-04-29,yes
authenticity-guarantee-handbags,existing_validated,A,,AG - Handbags — live,2026-04-29,yes
authenticity-guarantee-jewelry,existing_validated,A,,AG - Jewelry — live,2026-04-29,yes
authenticity-guarantee-sneakers,existing_validated,A,,AG - Sneakers — live,2026-04-29,yes
authenticity-guarantee-streetwear,existing_validated,A,,AG - Streetwear — live,2026-04-29,yes
authenticity-guarantee-trading-cards,existing_validated,A,,AG - Trading Cards — live,2026-04-29,yes
authenticity-guarantee-watches,existing_validated,A,,AG - Watches — live,2026-04-29,yes
authorized-seller-filter,existing_validated,B,,Active platform feature — Authorized Seller Filter (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
auto-pay,existing_validated,B,,Active platform feature — Auto Pay (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
auto-pricing,existing_validated,B,,Active platform feature — Auto Pricing (parent: pricing-tools). Consistent with current eBay functionality.,2026-04-29,yes
auto-relist,existing_validated,B,,Active platform feature — Auto-Relist (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
automated-promoted-listings-campaigns,existing_validated,A,,Automated Promoted Listings Campaigns LIVE. Launched March 2025. Rule-based automation for PL campaigns with auto ad rat,2026-04-29,yes
automatic-bidding,existing_validated,B,,Active platform feature — Automatic Bidding (parent: auction). Consistent with current eBay functionality.,2026-04-29,yes
automatic-relisting,existing_validated,B,,Active platform feature — Automatic Relisting (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
awaiting-shipment,existing_validated,B,,Active platform feature — Awaiting Shipment (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
back-in-stock,existing_validated,B,,Active platform feature — Back in Stock (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
back-to-school,existing_validated,A,,Seasonal campaign — recurring,2026-04-29,yes
background-enhancement,existing_validated,B,,Active platform feature — Background Enhancement (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
barcode-scanner,existing_validated,B,,Active platform feature — Barcode Scanner (parent: ebay-selling-app). Consistent with current eBay functionality.,2026-04-29,yes
below-standard,existing_validated,B,,Active platform feature — Below Standard (parent: seller-performance-standards). Consistent with current eBay functional,2026-04-29,yes
best-match,existing_validated,B,,Active platform feature — Best Match (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
best-match-sort,existing_validated,B,,Active platform feature — Best Match Sort (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
best-offer,existing_validated,A,,Core transaction feature — live,2026-04-29,yes
bid-increment,existing_validated,B,,Active platform feature — Bid Increment (parent: auction-format). Consistent with current eBay functionality.,2026-04-29,yes
bid-now,existing_validated,B,,Active platform feature — Bid Now (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
bid-shielding-policy,existing_validated,A,,Legal/policy document — Bid Shielding Policy maintained by eBay legal/compliance team,2026-04-29,yes
bidding,existing_validated,B,,Active platform feature — Bidding (parent: my-ebay). Consistent with current eBay functionality.,2026-04-29,yes
bids-and-offers,existing_validated,B,,Active platform feature — Bids & Offers (parent: my-ebay). Consistent with current eBay functionality.,2026-04-29,yes
billpoint,existing_legacy_validated,A,,"Billpoint — payment solution from 1999-2003, correctly marked legacy. Phased out after PayPal acquisition.",2026-04-29,yes
biometric-verification,existing_validated,B,,Active platform feature — Biometric Verification (parent: passkeys). Consistent with current eBay functionality.,2026-04-29,yes
black-friday-deals,existing_validated,A,,Black Friday — recurring,2026-04-29,yes
block-buyer-list,existing_validated,B,,Active platform feature — Block Buyer List (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
block-buyers,existing_validated,B,,Active platform feature — Block Buyers (parent: seller-tools). Consistent with current eBay functionality.,2026-04-29,yes
bold,existing_legacy_validated,B,,eBay listing upgrade Bold — retired listing enhancement,2026-04-29,yes
bold-title,existing_legacy_validated,B,,eBay listing upgrade Bold Title — retired,2026-04-29,yes
bons-plans,existing_validated,B,,French deals program — live on eBay France,2026-04-29,yes
bons-plans-fr,existing_validated,A,,French deals campaign — live,2026-04-29,yes
boost-buyer-engagement,existing_validated,B,,Active platform feature — Boost Buyer Engagement (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
bounce-rate,existing_validated,B,,Active platform feature — Bounce Rate (parent: analytics). Consistent with current eBay functionality.,2026-04-29,yes
brand-funded-promoted-listings-priority,existing_validated,B,,Brand-funded PLP — live,2026-04-29,yes
brand-funded-promoted-stores,existing_validated,B,,Brand-funded Promoted Stores — live,2026-04-29,yes
brand-identity,existing_validated,B,,Active platform feature — Brand Identity (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
brand-name,existing_validated,B,,Active platform feature — Brand Name (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
brand-outlet,existing_validated,A,,Brand Outlet shopping destination — live,2026-04-29,yes
browse,existing_validated,A,,Structural hierarchy node — Browse is valid taxonomy entry,2026-04-29,yes
browse-categories,existing_validated,B,,Active platform feature — Browse Categories (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
bulk-edit,existing_validated,B,,Active platform feature — Bulk Edit (parent: bulk-listing-tools). Consistent with current eBay functionality.,2026-04-29,yes
bulk-listing,existing_validated,B,,Active platform feature — Bulk Listing (parent: bulk-listing-tools). Consistent with current eBay functionality.,2026-04-29,yes
bulk-listing-tool,existing_validated,B,,Active platform feature — Bulk Listing Tool (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
bulk-listing-tools,existing_validated,B,,Active platform feature — Bulk Listing Tools (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
bulk-listing-upload,existing_validated,B,,Active platform feature — Bulk Listing Upload (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
bulk-tools,existing_validated,A,,Structural hierarchy node — Bulk Tools is valid taxonomy entry,2026-04-29,yes
bulk-upload,existing_validated,B,,Active platform feature — Bulk Upload (parent: bulk-tools). Consistent with current eBay functionality.,2026-04-29,yes
business-equipment-purchase-protection,existing_validated,B,,B2B buyer protection program — live,2026-04-29,yes
business-industrial,existing_validated,A,,Business & Industrial vertical — live,2026-04-29,yes
business-policies,existing_validated,B,,Active platform feature — Business Policies (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
butterfield-butterfield,existing_legacy_validated,A,,"Butterfield & Butterfield — auction house acquired 1999, sold to Bonhams 2002. Correctly marked legacy.",2026-04-29,yes
buy-again,existing_validated,B,,Active platform feature — Buy Again (parent: my-ebay). Consistent with current eBay functionality.,2026-04-29,yes
buy-it-now,existing_validated,A,,Core transaction format — live,2026-04-29,yes
buy-it-now-filter,existing_validated,B,,Active platform feature — Buy It Now Filter (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
buy-it-now-in-auctions,existing_validated,B,,Active platform feature — Buy It Now in Auctions (parent: auction). Consistent with current eBay functionality.,2026-04-29,yes
buy-it-now-price,existing_validated,B,,Active platform feature — Buy It Now Price (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
buyer,existing_validated,A,,Structural hierarchy node — Buyer is valid taxonomy entry,2026-04-29,yes
buyer-groups,existing_validated,B,,Active platform feature — Buyer Groups (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
buyer-messages,existing_validated,B,,Active platform feature — Buyer Messages (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
buyer-pays-return-shipping,existing_validated,B,,Active platform feature — Buyer Pays Return Shipping (parent: returns). Consistent with current eBay functionality.,2026-04-29,yes
buyer-programs,existing_validated,A,,Structural hierarchy node — Buyer Programs is valid taxonomy entry,2026-04-29,yes
buyer-protection,existing_validated,A,,Generic buyer protection taxonomy node — valid,2026-04-29,yes
buyer-requirements,existing_validated,B,,Active platform feature — Buyer Requirements (parent: seller-tools). Consistent with current eBay functionality.,2026-04-29,yes
buyer-review,existing_validated,B,,Active platform feature — Buyer Review (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
buying-format,existing_validated,B,,Active platform feature — Buying Format (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
buying-restrictions,existing_validated,B,,Active platform feature — Buying Restrictions (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
calculated-shipping,existing_validated,B,,Active platform feature — Calculated Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
campaign-bidding,existing_validated,B,,Active platform feature — Campaign Bidding (parent: promoted-listings). Consistent with current eBay functionality.,2026-04-29,yes
canada-post-expedited,existing_validated,B,,Active platform feature — Canada Post Expedited (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
cancel-order,existing_validated,B,,Active platform feature — Cancel Order (parent: order-management). Consistent with current eBay functionality.,2026-04-29,yes
cancellation-request,existing_validated,B,,Active platform feature — Cancellation Request (parent: order-management). Consistent with current eBay functionality.,2026-04-29,yes
cart-total,existing_validated,B,,Active platform feature — Cart Total (parent: checkout). Consistent with current eBay functionality.,2026-04-29,yes
cases-closed-without-seller-resolution,existing_validated,B,,Active platform feature — Cases Closed Without Seller Resolution (parent: seller-performance-standards). Consistent with,2026-04-29,yes
cassini,existing_validated,A,,eBay search algorithm — live,2026-04-29,yes
category,existing_validated,A,,Structural hierarchy node — Category is valid taxonomy entry,2026-04-29,yes
category-browse,existing_validated,B,,Active platform feature — Category Browse (parent: discovery). Consistent with current eBay functionality.,2026-04-29,yes
cbt-seller-dashboard,name_correction,A,Add canonical URL export.ebay.com/en/growth/seller-performance/cbt-seller-dashboard/; correct parent to Export/CBT umbrella; expand description with full name 'Cross-Border Trade Seller Dashboard',CBT (Cross-Border Trade) Seller Dashboard LIVE at export.ebay.com/en/growth/seller-performance/cbt-seller-dashboard/. Tr,2026-04-29,yes
ccpa-compliance,existing_validated,A,,Legal/policy document — CCPA Compliance maintained by eBay legal/compliance team,2026-04-29,yes
certificate-of-authenticity,existing_validated,B,,Active platform feature — Certificate of Authenticity (parent: collectibles). Consistent with current eBay functionality,2026-04-29,yes
certified-by-brand,existing_validated,B,,Certified by Brand LIVE. US only. Active browse page at ebay.com/b/Certified-by-Brand/bn_7121183554. Launched April 2023,2026-04-29,yes
certified-open-box,existing_validated,A,,Open box product condition program — live,2026-04-29,yes
certified-recycled,existing_validated,B,,Active platform feature — Certified Recycled (parent: sustainability). Consistent with current eBay functionality.,2026-04-29,yes
certified-recycled-program,existing_validated,B,,Sustainability certification — live,2026-04-29,yes
certified-recycler-program,duplicate,B,verify if distinct; merge if same,Possible duplicate of certified-recycled-program,2026-04-29,yes
certified-refurbished,existing_validated,A,,Certified Refurbished condition tier — live,2026-04-29,yes
charity,existing_validated,A,,Structural hierarchy node — Charity is valid taxonomy entry,2026-04-29,yes
checkout,existing_validated,B,,Active platform feature — Checkout (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
checkout-as-guest,existing_validated,B,,Active platform feature — Checkout as Guest (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
circular-fashion-fund,existing_validated,A,,Fashion sustainability fund — live,2026-04-29,yes
circular-fashion-innovator-of-the-year,existing_validated,A,,Circular Fashion Innovator of the Year — $300K prize within Circular Fashion Fund for 2025 cohort. Live program.,2026-04-29,yes
classified-ads,existing_validated,B,,Active platform feature — Classified Ads (parent: ebay-motors). Consistent with current eBay functionality.,2026-04-29,yes
clear-filters,existing_validated,B,,Active platform feature — Clear Filters (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
click-and-collect,existing_validated,A,,UK pickup option — live,2026-04-29,yes
click-collect,duplicate,B,merge into click-and-collect,Duplicate of click-and-collect,2026-04-29,yes
click-through-rate,existing_validated,B,,Active platform feature — Click-Through Rate (parent: analytics). Consistent with current eBay functionality.,2026-04-29,yes
coded-coupons,existing_validated,B,,Active platform feature — Coded Coupons (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
codeless-coupons,existing_validated,B,,Active platform feature — Codeless Coupons (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
coins-currency,existing_validated,A,,Coins & Currency vertical — live,2026-04-29,yes
collectibles,existing_validated,A,,Structural hierarchy node — Collectibles is valid taxonomy entry,2026-04-29,yes
collectibles-price-guide,existing_validated,B,,Active platform feature — Collectibles Price Guide (parent: verticals). Consistent with current eBay functionality.,2026-04-29,yes
collectibles-trading,existing_validated,A,,Structural hierarchy node — Collectibles & Trading is valid taxonomy entry,2026-04-29,yes
collection-points-au,existing_validated,B,,Active platform feature — Collection Points (AU) (parent: click-and-collect-multi-market). Consistent with current eBay ,2026-04-29,yes
collections,existing_validated,A,,My Collections buyer feature — live,2026-04-29,yes
combined-checkout,existing_validated,A,,Cart checkout feature — live,2026-04-29,yes
combined-shipping,existing_validated,B,,Active platform feature — Combined Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
combined-shipping-discount,existing_validated,B,,Active platform feature — Combined Shipping Discount (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
comc,existing_validated,A,,COMC — commercial agreement/investment announced Nov 2023 for trading card platform. Partnership (not acquisition). Live,2026-04-29,yes
comics,existing_validated,A,,Comics vertical — live,2026-04-29,yes
communication,existing_validated,A,,Structural hierarchy node — Communication is valid taxonomy entry,2026-04-29,yes
communication-preferences,existing_validated,B,,Active platform feature — Communication Preferences (parent: account-settings). Consistent with current eBay functionali,2026-04-29,yes
community,existing_validated,A,,Structural hierarchy node — Community is valid taxonomy entry,2026-04-29,yes
community-education,existing_validated,A,,Structural hierarchy node — Community & Education is valid taxonomy entry,2026-04-29,yes
community-forums,existing_validated,B,,Active platform feature — Community Forums (parent: support). Consistent with current eBay functionality.,2026-04-29,yes
competitive-pricing,existing_validated,B,,Active platform feature — Competitive Pricing (parent: pricing-tools). Consistent with current eBay functionality.,2026-04-29,yes
completed-listings,existing_validated,B,,Active platform feature — Completed Listings (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
condition-description,existing_validated,B,,Active platform feature — Condition Description (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
condition-filter,existing_validated,B,,Active platform feature — Condition Filter (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
condition-new-sort,existing_validated,B,,Active platform feature — Condition: New Sort (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
console-venditori,existing_validated,A,,Italian Seller Hub variant — live,2026-04-29,yes
consommation-raisonnee,existing_validated,B,,French conscious consumption program — live,2026-04-29,yes
contact-seller,existing_validated,B,,Active platform feature — Contact Seller (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
conversion-rate,existing_validated,B,,Active platform feature — Conversion Rate (parent: analytics). Consistent with current eBay functionality.,2026-04-29,yes
copy-to-inventory,existing_validated,B,,Active platform feature — Copy to Inventory (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
copyright,existing_validated,A,,Legal/policy document — Copyright maintained by eBay legal/compliance team,2026-04-29,yes
cost-per-click,existing_validated,A,,Cost Per Click (CPC) is the pricing model for Promoted Listings Priority (renamed from Promoted Listings Advanced July 2,2026-04-29,yes
cost-per-sale,existing_validated,B,,Active platform feature — Cost Per Sale (parent: promoted-listings). Consistent with current eBay functionality.,2026-04-29,yes
counter-offer,existing_validated,B,,Active platform feature — Counter Offer (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
counterfeit-detection,existing_validated,B,,Active platform feature — Counterfeit Detection (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
counteroffer,existing_validated,B,,Active platform feature — Counteroffer (parent: best-offer). Consistent with current eBay functionality.,2026-04-29,yes
coupons,existing_validated,B,,Active platform feature — Coupons (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
credit-card,existing_validated,B,,Active platform feature — Credit Card (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
critical-path-software,existing_legacy_validated,A,,Critical Path Software — talent acquisition Dec 2010 for mobile expertise. Correctly marked legacy.,2026-04-29,yes
cross-border-trade,existing_validated,A,,CBT program umbrella — live,2026-04-29,yes
csv-upload,existing_validated,B,,Active platform feature — CSV Upload (parent: bulk-tools). Consistent with current eBay functionality.,2026-04-29,yes
curated-lists,existing_validated,B,,Active platform feature — Curated Lists (parent: hand-picked-collections). Consistent with current eBay functionality.,2026-04-29,yes
currency-conversion,existing_validated,B,,Active platform feature — Currency Conversion (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
current-bid,existing_validated,B,,Active platform feature — Current Bid (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
custom-label,existing_validated,B,,Active platform feature — Custom Label (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
custom-template,existing_validated,B,,Active platform feature — Custom Template (parent: template-builder). Consistent with current eBay functionality.,2026-04-29,yes
customer-service,existing_validated,A,,Structural hierarchy node — Customer Service is valid taxonomy entry,2026-04-29,yes
cyber-monday,existing_validated,A,,Cyber Monday — recurring,2026-04-29,yes
daily-deals,existing_validated,B,,Active platform feature — Daily Deals (parent: ebay-deals). Consistent with current eBay functionality.,2026-04-29,yes
daily-payout,existing_validated,B,,Active platform feature — Daily Payout (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
deals-seller-portal,name_correction,A,Add market: AU; add canonical URL sellerportal.ebay.com.au; note US Deals is invite-only (no self-serve portal); update description,Deals Seller Portal LIVE in Australia at sellerportal.ebay.com.au. Invitation-only (Managed Sellers or invitation). Two ,2026-04-29,yes
debit-card,existing_validated,B,,Active platform feature — Debit Card (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
decline-offer,existing_validated,B,,Active platform feature — Decline Offer (parent: best-offer). Consistent with current eBay functionality.,2026-04-29,yes
delivered,existing_validated,B,,Active platform feature — Delivered (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
delivery-exception,existing_validated,B,,Active platform feature — Delivery Exception (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
delivery-status,existing_validated,B,,Active platform feature — Delivery Status (parent: order-updates). Consistent with current eBay functionality.,2026-04-29,yes
delivery-updates,existing_validated,B,,Active platform feature — Delivery Updates (parent: delivery-status). Consistent with current eBay functionality.,2026-04-29,yes
description-builder,existing_validated,B,,Active platform feature — Description Builder (parent: listing-designer). Consistent with current eBay functionality.,2026-04-29,yes
description-template,existing_validated,B,,Active platform feature — Description Template (parent: listing-template). Consistent with current eBay functionality.,2026-04-29,yes
description-templates,existing_validated,B,,Active platform feature — Description Templates (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
detailed-seller-ratings,existing_validated,B,,Active platform feature — Detailed Seller Ratings (parent: feedback). Consistent with current eBay functionality.,2026-04-29,yes
developer,existing_validated,A,,Structural hierarchy node — Developer is valid taxonomy entry,2026-04-29,yes
developer-loyalty-program,existing_validated,A,,"Developer Loyalty Program LIVE at developer.ebay.com/grow/loyalty-program. Three tiers: Gold, Silver, Bronze. Invite-onl",2026-04-29,yes
developer-platform,existing_validated,A,,Structural hierarchy node — Developer Platform is valid taxonomy entry,2026-04-29,yes
dhl-paket,existing_validated,B,,Active platform feature — DHL Paket (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
digest-notifications,existing_validated,B,,Active platform feature — Digest Notifications (parent: mobile-notifications). Consistent with current eBay functionalit,2026-04-29,yes
discounts-manager,existing_validated,B,,Active platform feature — Discounts Manager (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
discovery,existing_validated,A,,Structural hierarchy node — Discovery is valid taxonomy entry,2026-04-29,yes
discovery-buyer-experience,existing_validated,A,,Structural hierarchy node — Discovery & Buyer Experience is valid taxonomy entry,2026-04-29,yes
distance-nearest-first,existing_validated,B,,Active platform feature — Distance: Nearest First (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
draft-listings,existing_validated,B,,Active platform feature — Draft Listings (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
drafts,existing_validated,B,,Active platform feature — Drafts (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
duplicate-listing,existing_validated,B,,Active platform feature — Duplicate Listing (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
ebay,existing_validated,A,,eBay masterbrand — root node of entire registry. Live.,2026-04-29,yes
ebay-4-0-mobile-app,existing_legacy_validated,A,,eBay 4.0 mobile app — legacy version milestone. Correctly marked legacy.,2026-04-29,yes
ebay-academy,name_correction,B,Update canonical URL to academy.ebay.com; note Seller Center link redirects to homepage; do NOT mark as deprecated,eBay Academy is LIVE at academy.ebay.com (not the Seller Center deep-link which redirects to homepage). Official Terms o,2026-04-29,yes
ebay-advertising,existing_validated,A,,Structural hierarchy node — eBay Advertising is valid taxonomy entry,2026-04-29,yes
ebay-ai-message-assistance,existing_validated,B,,Active platform feature — eBay.ai Message Assistance (parent: communication). Consistent with current eBay functionality,2026-04-29,yes
ebay-ambassador,name_correction,A,Update entry: add ambassador.ebay.com as canonical URL; add note that program relaunched as affiliate/commerce model April 2025; distinguish from old community advocate usage; add renamedFrom: ebay-partner-network relationship note,eBay Ambassador Program relaunched April 2025 as full affiliate/commerce program at ambassador.ebay.com. All US users el,2026-04-29,yes
ebay-assured-fit,duplicate,A,Merge into ebay-guaranteed-fit; remove ebay-assured-fit; add market aliases,eBay Assured Fit = UK regional name for eBay Guaranteed Fit. Same program as assured-fit and ebay-guaranteed-fit. Three ,2026-04-29,yes
ebay-australia,existing_validated,A,,eBay Australia — live,2026-04-29,yes
ebay-authenticate,existing_legacy_validated,B,,eBay Authenticate — folded into Authenticity Guarantee,2026-04-29,yes
ebay-auto,false_positive,A,remove from registry,'eBay Auto' is NOT an official eBay brand. Official automotive brand is 'eBay Motors'. No official usage found.,2026-04-29,yes
ebay-balance,existing_validated,B,,Active platform feature — eBay Balance (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
ebay-bucks,existing_legacy_validated,B,,eBay Bucks rewards program — discontinued,2026-04-29,yes
ebay-business-supply,existing_validated,A,,eBay Business Supply vertical — live,2026-04-29,yes
