registry_id,classification,priority,evidence_quality,action_required,notes,scan_date
seller-clinics,name_correction,P2,A,"Confirm as distinct program from eBay Academy (not a replacement); add canonical URL; correct parent: should be community/growth, not Internal Tools",Seller Clinics is LIVE and DISTINCT from eBay Academy. Launched Oct 2024. One-on-one 45-min phone consultations with eBay Marketplace Advisor. US only,2026-04-29
terapeak,status_changed_renamed,P2,A,update status: renamed; renamedTo: product-research,Terapeak name fully absent from live Seller Center; renamed to 'Product Research',2026-04-29
assured-fit,duplicate,P3,A,"Merge: Mark assured-fit as regional alias of ebay-guaranteed-fit; add market variants to ebay-guaranteed-fit node (US: Guaranteed Fit, UK: Assured Fit","Assured Fit IS eBay Guaranteed Fit with UK regional branding. Regional names: US = 'eBay Guaranteed Fit', UK = 'eBay Assured Fit', DE = 'eBay Fahrzeug",2026-04-29
certified-recycler-program,duplicate,P3,B,verify if distinct; merge if same,Possible duplicate of certified-recycled-program,2026-04-29
click-collect,duplicate,P3,B,merge into click-and-collect,Duplicate of click-and-collect,2026-04-29
ebay-assured-fit,duplicate,P3,A,Merge into ebay-guaranteed-fit; remove ebay-assured-fit; add market aliases,eBay Assured Fit = UK regional name for eBay Guaranteed Fit. Same program as assured-fit and ebay-guaranteed-fit. Three IDs for one program (ebay-guar,2026-04-29
ebay-fulfilment-uk,duplicate,P3,C,merge or clarify regional distinction,Likely duplicate of ebay-fulfilment,2026-04-29
ebay-plus-membership,duplicate,P3,B,merge into ebay-plus,Duplicate of ebay-plus,2026-04-29
ebay-premium-services,duplicate,P3,B,verify; merge if same,Possible duplicate of ebay-premium-service,2026-04-29
guaranteed-fit,duplicate,P3,A,remove guaranteed-fit; keep ebay-guaranteed-fit with full name,"Duplicate of ebay-guaranteed-fit — same program, two IDs",2026-04-29
logistica-ebay-orange-connex,duplicate,P3,B,verify; merge if same,Duplicate of logistica-ebay-by-orange-connex,2026-04-29
money-back-guarantee,duplicate,P3,B,verify; merge if same,"Likely duplicate of ebay-money-back-guarantee — same concept, two IDs",2026-04-29
preloved-partner-program,duplicate,P3,B,merge into pre-loved-partner-program,Duplicate of pre-loved-partner-program,2026-04-29
store-tier-enterprise-us,duplicate,P3,B,merge with market: US or clarify,Duplicate of store-tier-enterprise (US-specific label),2026-04-29
store-tier-platin-de,duplicate,P3,B,merge into store-tier-platin with market: DE,Duplicate of store-tier-platin (DE-specific),2026-04-29
store-tier-premium-plus-it,duplicate,P3,B,merge into store-tier-premium-plus with market: IT,Duplicate of store-tier-premium-plus (IT-specific),2026-04-29
